id,title,author,grade,text,char,valence,arousal,dominance
41013,The Room,ty,8,الغرفة مشرقة. الغرفة جميلة. الغرفة لها ضوء. الغرفة قد شوهدت أكثر ثم مرتين. الغرفة مليئة بالأشياء الجيدة. الغرفة في الخارج ولكن في الداخل. الغرفة ليس لديها شيء، لذا فارغ يمكنك سماع أدنى تلميح. الغرفة ليس لها علامة على وجود خطيئة.,256,3.667119264602661,3.312544822692871,3.2831151485443115
74798,Mikey&apos;s Bad day,ty,8,و لكن اعتقدت أن أمي سوف تأخذ الكلب إلى الطبيب البيطري. وصلت إلى المدرسة بعد 15 دقيقة إلى الصف و انتظرت مع مرور الوقت. ولعبت لعبة مع أصدقائي ولكن حصلت على كل ذلك فوضى وأنا كنت الشخص الذي حصل على اللوم. عدنا إلى الصف وذهبنا إلى النادي مع معلمين أسمهم تيم. لكنه قال لنا أننا سنلعب لعبة مفضلة للجميع. لكن مثل أن الفريق كان يتلاعب باللاعبين الجيدين على جانب واحد والآخرين على جانبي. حصلت على ضرب في الوجه مرات عديدة لدرجة أنني نسيت كم كان هذا العدد. المدرسة كانت منجذبة إلى نهاية كنت سعيدة جداً لدرجة أنني نسيت كل شيء,1040,2.5831243991851807,3.297784805297852,2.9950051307678223
51991,Ty&apos; Keyah,ty&apos; keyah,8,أريد فقط أن أصرخ وأصرخ بكل الكراهية التي بداخلي أريد شخصاً ما أن يريني الطريق للضوء,278,2.0858592987060547,3.742565155029297,3.0901148319244385
111586,"Rain, Rain, Go Away",ty&apos;nigha,8,أمطر، أمطار، أمطار تذهب بعيداً مرة أخرى في يوم آخر لم تكن قد غسلت أحلامي مع الكثير من الجداول أتمنى لو أنك لم تكن هنا أبداً أريد منك أن تسمعني بصوت عالٍ,359,3.6694583892822266,3.8197426795959473,3.2985594272613525
38574,World of Theatre,tyle,8,على خشبة المسرح، أدّي دورك، سأشاهد تمثيلك وأصفّق لك. لمستني بعمق مع تلك الشخصية التي أديتها، الحزن، الضحك، الحبّ. فتى فقير رفضه معظم الناس، باستثناء صديقه، تمثيل جميل.,240,4.048400402069092,3.783517360687256,3.418353796005249
109953,4 Silly Ways to eat chicken.,tyler,8,تقريباً كل مساء، آكل دجاجاً بسيف، كل ظهر في الثانية عشرة، آكل دجاجاً بسيف شديد,222,3.268965244293213,3.153751850128174,3.2885782718658447
100459,FALL,tyler,8,تبدأ الأوراق بالتغير إلى ألوانها الملحية الطفل يبدأ باللعب في الأوراق كما أنها تقع يوما بعد يوم ولكن مع ذلك لا يزال يمكنك أن تشعر أن الشتاء يزحف عليك يوما بعد يوم,200,2.856483459472656,3.127866744995117,3.0544745922088623
50862,My dog,tyler,8,كلبي دائما في الضباب. أذناها طويلتان ساقاها قويتان. فراءها أسود الاسماء ليس جاك. تنزلق على الارض وتركض الى الباب. تسافر وتسقط وتركض الى الحوائط. على الرغم من أن دماغها قد يكون مسدودا فهي كلبي.,243,2.5880579948425293,3.365936279296875,2.9515841007232666
106051,The Basketball,tyler,8,كرة السلة كانت دائرية ولها خطوط كنا نلعب بها دائماً. نحن دائماً مباركون أن يكون لدينا كرة سلة. الطلقة فوقها بطريقة ما كيف تصل إلى النفاية ##x85; 3 نقطة! المذيع يصرخ &#x85؛ مروحة غاضبة تدق جرس البقرة التي فازت النمور بها اللعبة &#x85؛,304,3.514122009277344,3.493654727935791,3.363524913787842
44007,My Bike Ride,tyler,8,أنا أبدأ من أعلى التلة نحو الحديقة، أصل إلى البوابة، أركب في، أركب في أعلى أول تلة صغيرة، لسبب ما هو أصعب للدواسة، أنا أنظر إلى أسفل، ثم حولي، أرى أن إطاري كان خارج الهواء،,518,2.560046911239624,3.4947869777679443,3.000305414199829
55814,Dustin,tyler,8,إنه لطيف جداً جداً أسمه هو الغبار لديه فرس كبير يعتقد أننا أخوين شعره مجعد لذا أعطيته شعراً دائرياً,201,3.8690743446350098,3.494555950164795,3.3209149837493896
55818,My freind Larry,tyler,8,لدي حيوان أليف إنه يتصرف كالكلب الذي يهوي ذيله الذي يدق جرساً,224,3.337235450744629,3.3323769569396973,3.260732412338257
86372,The Stork on the Man&apos;s Head,tyler,8,"عندما استيقظت في صباح أحد الأيام، كان هناك ستورك على رأسي. سألت: ""ما الذي تفعله هناك؟"" نظر إلي وقال: ""يا له من منظر عظيم هو من أعلى رأسك. كنت سأبقى هنا طوال اليوم لو كان لدي الوقت، ولكن علي أن أحضر لي بعض الطعام. ""سأعود!""",278,3.5727081298828125,3.619523763656616,3.318959474563598
106061,The Field,tyler,8,الميدان مليء بالأحلام والخسارة والمكاسب والألم والمكاسب تفوق الخسائر الكثيرون يتركون السعادة حتى لو كانت خسارة,469,3.765548229217529,3.5863142013549805,3.326567411422729
106073,Beckham,tyler,8,(بكهام)، كل شيء مربوط وجاهز للعب، معتقداً أنه أكبر منك، أصغر شيه تيزو حولنا، إنه يدفع 6 أشهر الآن،,466,3.5356669425964355,3.420468330383301,3.276809930801392
85581,Name poem,tyler,8,تماماً قنبلة صغيرة و متوحشة و بناء و بناء كبير و دخول و دخول و حجر هو اسمي الأخير,91,2.657290458679199,3.3148512840271,3.165233373641968
118722,My Bicep,tyler,8,أنا أفضل مني أقول هذا بسبب كل ما يفعله ويجعلني قوية بقدر ما أستطيع أن أكون أقوى أحصل على أكبر عضلات كلما شعرت بشكل أفضل,179,3.771647691726685,3.684915542602539,3.434741735458374
35248,The One,tyler,8,لقد أيقظت قلبي، ووضعت الالوان في عيني ومع ذلك ما زلت أشعر بألم ثابت، ألم في القلب، ألم في العقل ألم لا يمكن إيقافه. ما لم يظهر المصدر,278,3.691312551498413,3.679279804229736,3.3148961067199707
38535,School,tyler,8,المدرسة ليست للأحمق ولكن يجب أن تذهب إلى المدرسة لأنك يجب أن تكون باردا.,83,3.098700523376465,3.2401721477508545,3.407829523086548
106072,My dog,tyler,8,كلبي اسمر وممتع جداً للعب به، الاستحمام والركض حولها، المشي في الليل، الأكل في الصباح، الاستمتاع طوال اليوم وكل يوم، كلبي رائع.,177,4.414147853851318,3.78973913192749,3.42040753364563
106056,Basketball,tyler,8,تقريباً كل ما بعد الظهر، ألعب كرة السلة مع أصدقائي، وأقفز الكرة حيث كل ما أذهب، وأطلق النار على النقاط، كرة السلة تذهب إلى الطوق، 2، 3 نقاط عندما تسمع كرة السلة تضرب الأرض، كرة السلة متعبة، وحان الوقت للتوقف، سأذيعها مرة أخرى و ألعب غداً.,306,3.1648166179656982,3.360433578491211,3.3311927318573
31793,Video Game Master,tyler diener,8,أحب أن ألعب ألعاب الفيديو، يجعلني أشعر بشهرتي، لطالما كان لدي موهبة خاصة، من الأفضل أن تستعد للحزم، لا أخسر مرتين أبداً، حتى لو كنت مع النرد، إذا تحدتني في المبارزة، حسناً سأقول أنك أحمق، لدي اتصال جيد بالرمح الجيد، لهذا السبب أنا أُحب أن أكون ملكاً.,293,3.4823803901672363,3.5061960220336914,3.4156653881073
